Set	Score
BUSSLINGER_ESOPHAGEAL_EARLY_SUPRABASAL_CELLS	-0.011077619515122341
BUSSLINGER_GASTRIC_IMMUNE_CELLS	0.008473247624114858
BUSSLINGER_DUODENAL_IMMUNE_CELLS	0.024637056035993508
FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_IMMUNE	0.0250739332699201
FAN_EMBRYONIC_CTX_BRAIN_NAIVE_LIKE_T_CELL	0.17949836794622526
MANNO_MIDBRAIN_NEUROTYPES_BASAL	0.08304389878926685
AIZARANI_LIVER_C1_NK_NKT_CELLS_1	-0.012614700406401223
AIZARANI_LIVER_C3_NK_NKT_CELLS_2	0.09715857381996318
AIZARANI_LIVER_C28_NK_NKT_CELLS_6	0.09265057038958835
HAY_BONE_MARROW_CD8_T_CELL	-0.1706041614417984
ZHENG_CORD_BLOOD_C9_GRANULOCYTE_MACROPHAGE_PROGENITOR	0.021137599066628782
LAKE_ADULT_KIDNEY_C30_IMMUNE_CELLS_MACROPHAGES	0.31727081338940627
MENON_FETAL_KIDNEY_1_EMBRYONIC_RED_BLOOD_CELLS	-0.0230118751005599
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_CD4_T_CELLS	0.07260734175083956
CUI_DEVELOPING_HEART_C9_B_T_CELL	0.11272612624508678
TRAVAGLINI_LUNG_CD8_MEMORY_EFFECTOR_T_CELL	-0.0949286783911261
TRAVAGLINI_LUNG_CD8_NAIVE_T_CELL	-0.16206408463595523
TRAVAGLINI_LUNG_CD4_MEMORY_EFFECTOR_T_CELL	0.031329421277486294
TRAVAGLINI_LUNG_CD4_NAIVE_T_CELL	0.26313126385376806
FAN_OVARY_CL4_T_LYMPHOCYTE_NK_CELL_1	-0.07625574374235422
FAN_OVARY_CL10_PUTATIVE_EARLY_ATRESIA_GRANULOSA_CELL	-0.0015046978353555197
FAN_OVARY_CL12_T_LYMPHOCYTE_NK_CELL_2	-0.0520219700796186
FAN_OVARY_CL18_B_LYMPHOCYTE	-0.007121110469770829
RUBENSTEIN_SKELETAL_MUSCLE_NK_CELLS	0.012106952402417246
RUBENSTEIN_SKELETAL_MUSCLE_T_CELLS	0.14390867179652178
BLANCO_MELO_SARS_COV_1_INFECTION_MCR5_CELLS_UP	-0.27862991017890737
KORKOLA_YOLK_SAC_TUMOR_UP	0.24629218533382224
FOURNIER_ACINAR_DEVELOPMENT_EARLY_DN	0.1626383712956687
KIM_RESPONSE_TO_TSA_AND_DECITABINE_DN	0.12075034244054819
KOBAYASHI_EGFR_SIGNALING_6HR_UP	0.3239118675302954
CHANDRAN_METASTASIS_TOP50_UP	0.0958332699969482
GRABARCZYK_BCL11B_TARGETS_UP	-0.04183651119145374
CHOI_ATL_CHRONIC_VS_ACUTE_DN	0.05490729943250843
GINESTIER_BREAST_CANCER_ZNF217_AMPLIFIED_UP	-0.03251005287593848
SCIBETTA_KDM5B_TARGETS_UP	0.13425939352635652
MAYBURD_RESPONSE_TO_L663536_DN	0.11165930663768205
