	CD4 minus TA in CFS163 vs CD4 minus TA in Healthy
ACTB	-2150.09785
FTH1	-1321.0267470000008
HLA-A	-1083.1512563738834
HLA-C	-810.3948921469907
PABPC1	-751.142026261
PFN1	-511.0153299999997
MTRNR2L8	-507.8899999999999
HLA-E	-489.3320449527687
SH3BGRL3	-458.2320000000002
TLE5	-398.1279704
LTB	-382.569289
SARAF	-348.0948744187526
UBC	-332.45918500000016
DAZAP2	-308.58204200000023
LEF1	-301.0677414073001
HNRNPK	-292.6696559999998
ITM2A	-270.68589999999995
PCSK5	-266.9763938
SUN2	-248.9873030000001
ACTG1	-230.72537700121433
LCK	-228.28966343540003
CCR7	-226.54742
LIMD2	-224.67573200000004
CORO1A	-221.65085999999974
LAT	-215.9689952600001
CYBA	-214.2413016150001
PBXIP1	-209.53699999999992
ITGB2	-208.88147753401745
CD3D	-205.98247000000003
FCMR	-202.4693699999999
LDLRAP1	-200.04484699999998
TCF7	-199.04991800247558
CD44	-191.50216462094
SEPTIN9	-188.17761109859867
EMP3	-185.11493000000007
GAPDH	-184.93980699999975
MTRNR2L1	-182.55700000000002
ETS1	-176.07829900000002
LAPTM5	-159.5121180000001
TMSB10	-153.4699999999998
CD52	-148.95347000000038
TAPBP	-144.09563748959516
SRGN	-141.96089999999998
ARHGAP45	-141.59324300000003
CD27	-141.17109
IL16	-140.91141439999996
IFITM2	-139.6752160310861
YWHAZ	-135.10260619999997
ACTR3	-134.81195300000002
S1PR4	-134.42325299999993
PIK3IP1	-132.14173000000005
MTRNR2L6	-131.52200000000005
UCP2	-130.04716299999995
CD247	-124.78955427793397
PTPRC	-122.2877513601536
FXYD5	-120.2823729999999
YWHAB	-118.29797000000008
RAC2	-115.18365499999999
PRKAR1A	-114.04128324621274
LSP1	-111.10888459999995
ALDOA	-108.3706821275
PTPRCAP	-108.05300000000005
SERF2	-106.4736210000001
AQP3	-104.90458299999995
TMEM123	-102.41601500000002
DDX3X	-99.48963069003003
GIMAP4	-99.19005900000025
SELL	-97.38896199999999
BTG1	-97.29999999999995
MBNL1	-96.49120322033923
CFL1	-95.97911049999993
JAK1	-94.41704500000003
MIF	-94.11797999999999
PTMA	-93.10048600000005
MSN	-92.8847740000001
PECAM1	-89.92673299999998
ARHGEF1	-89.03305300000002
TMBIM6	-88.94267108999986
SLC9A3R1	-88.49288899999999
DUSP2	-87.45264000000003
PPP2R5C	-87.20776569999998
GYPC	-86.621371
SH2D1A	-86.47551762660001
TBC1D10C	-86.30912999999995
PRKACB	-84.81165179223527
LIME1	-83.649298
SLC25A6	-83.32451999999995
CD5	-82.68496199999998
IKZF1	-81.53261830000002
SOD2	-81.4837589
SPOCK2	-81.452499579
FLNA	-80.85870835968291
GMFG	-79.93974999999989
GTF3A	-79.34923300000003
IFITM1	-79.2713923138001
ELOB	-79.11160999999998
LSM14A	-79.0767734039392
ITGAL	-78.312367
CAP1	-77.82332599999995
CD6	-76.14627400000006
ACTN1	-74.3657419
CD4	-74.35148200000009
S1PR1	-73.33120400000007
LITAF	-73.29181629429996
R3HDM4	-73.08871900000003
CAPZB	-73.02856499999984
ANXA11	-72.985570020751
RIPOR2	-70.12202031472009
H3-3A	-70.09654
ACTR2	-69.34563000000003
CD82	-69.05685000000003
COPE	-68.94027399999999
WDR1	-68.90514890000003
H4C3	-68.59299999999996
MFNG	-67.42162499999995
SMC4	-67.36387900000003
C9orf16	-66.98172909000002
GIMAP6	-66.88282999999998
ANXA6	-66.690744
TIGIT	-66.574667
KLF2	-66.00411999999989
NOP53	-65.88358470000009
P2RY8	-65.347579
CTBP1	-65.045055
ANP32A	-64.6878713
LBH	-64.1552750000001
ADD3	-63.543168639999976
IER2	-63.23055700000009
CHMP7	-63.081167574999995
SF3A1	-62.997725920900024
SHISA5	-62.81038394423672
HLA-DPA1	-62.792991985749694
FYN	-62.592055673699974
COTL1	-62.54063000000008
CD164	-62.337064999999996
TMEM248	-62.125001999999995
CCND3	-61.32928350033774
UBE2D3	-61.103277200000036
ISG20	-60.789256999999964
ARPC1B	-60.514521
CD28	-60.456615
CRLF3	-60.370744
RNF166	-59.4143467696
PPP2CA	-59.30695700000001
PPP1R2	-59.12357799999998
TUBA4A	-59.098074999999994
DDIT4	-58.771907
ARPC5	-57.951617
LRRN3	-57.882401000000016
TMEM204	-57.70600000100504
ST6GAL1	-57.55430860000001
SEPTIN6	-57.51248899999996
RASGRP2	-56.74188168800001
MTRNR2L4	-56.637299999999996
NR3C1	-56.296307579
HP1BP3	-56.21681299999997
SRP9	-55.99053442492999
DEK	-55.57661368
BAX	-55.35114900000002
CNN2	-55.21264600000006
TSPO	-54.98966200000001
MCUB	-54.98319999999998
GRK2	-54.48619930000004
MAPK1IP1L	-54.34643899999999
RBM38	-54.09101000000001
CTSB	-53.87738667470006
SLC44A2	-53.697182000000026
SERP1	-53.63893199999998
TPM3	-53.608256299999994
UXS1	-53.571182900000025
MDH2	-53.56016500000004
VCP	-53.29207200000002
WIPF1	-52.70946599999996
IGFBP4	-51.739599999999996
MZT2B	-51.70541300000002
CD55	-51.192772899999966
PRMT2	-50.978992000000005
SLC38A2	-50.13611500000002
ECH1	-50.11952569920362
PSMB3	-49.71490400000002
TRAM1	-49.48746999999997
MARCKSL1	-49.31639999999999
IGFLR1	-49.022963000000004
FLOT2	-48.96083399999998
LMAN2	-48.91179300000002
ARHGAP30	-48.623285312553634
ITGB7	-48.25049300000006
SUMO2	-48.13899999999995
PRDX5	-48.134829999999965
GNB1	-48.126025999999996
C11orf58	-47.990864000000045
MYH9	-47.769329
CNOT8	-47.61791423185002
RASSF5	-47.508167000000014
TSPAN14	-46.94270899999998
PDIA3	-46.740545999999995
ADORA2A	-46.38070059585522
GLUL	-46.233548
EID1	-46.08370000000002
ADAM10	-46.065176448399995
RNPEPL1	-46.017367699999994
HPCAL1	-45.9196216
CBFB	-45.88399900000002
PSMA4	-45.84851206562999
PSMB1	-45.79054000000002
HMGB1	-45.5793799999999
SNU13	-45.49865799999999
LEPROTL1	-45.22730000000013
EHD1	-45.212250154549054
PUF60	-45.132546828617734
FERMT3	-44.72491700000006
ARPC2	-44.71800400000018
PPP1CC	-44.63857100000003
MTRNR2L10	-44.623999999999995
SH2D2A	-44.570685
HLA-F	-44.4540067237221
BSG	-44.33618299999995
RAB6A	-44.111041000000014
RAB5C	-43.942128000000004
ESYT1	-43.79060400000003
MAD1L1	-43.766329283517024
GRK6	-43.67514
G3BP1	-43.64274400000002
CANX	-43.4570066
FKBP8	-43.34066090000002
CYFIP2	-43.17183912279998
ELOVL5	-43.03196989999998
XRCC5	-42.555548000000016
LRCH4	-42.552006999999975
GNAI2	-42.402856356628945
CDKN1B	-42.26668
EZR	-41.73664557199993
LIMS1	-41.72569900000005
MOB3A	-41.19693400000001
IDH2	-41.02495600000002
UBE2N	-40.55322000000001
MOB1A	-40.542019999999994
CSDE1	-40.27223219357097
MAL	-40.09373399999997
RHOG	-40.00325999999998
NUCB2	-39.763418
NDRG1	-39.589080210000006
GNL3L	-39.52056
SNRK	-39.499750000000006
FIS1	-39.48809499999999
NOSIP	-39.4146394
ITGA4	-38.94599400000007
HNRNPF	-38.941400000000044
CD3E	-38.714930000000095
RNASET2	-38.680470900000046
SEPTIN1	-38.27114130000001
ATP6V0E2	-38.26942308699995
WDR82	-37.92757
PKM	-37.75391347999994
AKTIP	-37.661687
RHOA	-37.65716200000003
PPP1CA	-37.60172400000005
BUB3	-37.500710000000026
STK10	-37.426957000000016
DIAPH1	-37.41507299999999
ICAM3	-37.334727
RFFL	-37.28560299999998
SIGIRR	-37.24091200000002
RABAC1	-37.058689000000015
PIK3CD	-36.883272999999974
CHCHD2	-36.808550000000025
TNFRSF4	-36.73045599999999
H1-10	-36.64699999999999
SUSD3	-36.58174003668151
OAZ1	-36.34382899999969
TRIR	-36.337456
HLA-DPB1	-36.334427108644036
TERF2IP	-36.204520099999996
SF3B3	-36.13820500000003
AP1M1	-36.108562999999975
PLSCR3	-36.072649
SIPA1	-35.61718700000003
GPSM3	-35.44075360000002
SAMHD1	-35.24647599999999
CHN1	-35.15126137
DOCK9	-35.036021489999996
RAB7A	-34.956211999999994
TSPAN7	-34.92060000000001
PSMD8	-34.768527535435
HMGN2	-34.70633799999996
APBA2	-34.6897868
FGD3	-34.65621300000001
SEC11C	-34.584224000000006
ATRAID	-34.51227502760132
JAK3	-34.4230800002718
ARL6IP5	-34.334127999999964
CST7	-34.32899999999998
APRT	-34.30939215799998
ASB8	-34.269774153799986
TNFAIP8	-34.26241300000001
PTBP1	-34.23765399999999
C16orf54	-34.13080000000002
REEP5	-34.07743279999998
NECAP2	-33.93706069999999
TECPR1	-33.646539999999995
FAM104A	-33.640930999999995
SATB1	-33.61369099999999
STAT5B	-33.323328499999974
TECR	-32.929933000000005
SHKBP1	-32.91278846700001
ARID5A	-32.80184
RNF126	-32.75721999999999
CDC42	-32.64398
ID3	-32.618534000000004
HCST	-32.56270000000001
TMEM170A	-32.557514
MORF4L1	-32.487029243532845
C4orf48	-32.328160000000004
SELPLG	-32.326055
PYCR2	-32.26124899999999
KHDRBS1	-32.198858000000016
TOR1AIP1	-32.01694697725
ABI1	-31.96542719999998
ABLIM1	-31.847324000000043
ZCRB1	-31.816272000000005
SNRPD3	-31.784193000000002
DBNL	-31.775173214570017
RBBP4	-31.770916000000028
U2AF1	-31.6729018419377
SASH3	-31.642200000000003
TNFSF8	-31.619306690000016
TPP1	-31.611914452000065
HMCES	-31.5128080010863
PAGR1	-31.4882
JUNB	-31.47200000000001
HNRNPM	-31.386663
PSMC6	-31.34175900000001
CXCR3	-31.244799999999998
DCK	-31.22802999999999
MAF1	-31.183876999999967
PSMB8	-31.111481900000058
S100A11	-31.00551399999972
LDLRAD4	-31.003175900000006
RETREG3	-30.990938999999997
CNIH1	-30.970839999999995
RASA4	-30.912370099999997
GSPT1	-30.90513900000002
CREB1	-30.723464000000007
CORO1B	-30.642023999999992
NDUFA4	-30.641842000000025
TMED2	-30.630873999999977
TMC8	-30.507535622299997
ZNF394	-30.45106100000001
LDHA	-30.41809900000004
IL6ST	-30.389833485272987
FXYD2	-30.346215199999985
NOG	-30.249637
ABTB1	-30.240252700000013
LCP2	-30.203136
POLD4	-30.134602799999996
ABHD14B	-30.107122000000004
RAD21	-29.82186999999999
SERINC3	-29.713798999999995
RASAL3	-29.68207679999999
TMEM160	-29.552400000000006
CCNI	-29.54607900000002
ABRACL	-29.501965000000013
NMT2	-29.428159
GZMM	-29.361659999999993
TRIM28	-29.29307399999999
MTPN	-29.072399999999988
NEK7	-29.015163000000015
CSGALNACT1	-28.99996040000002
ARHGEF3	-28.81229049999996
HMGN3	-28.804600000000008
HMG20B	-28.746130599999994
POLR2J3	-28.655862760830004
XPO6	-28.603816899999998
E2F4	-28.555316765100002
CPA5	-28.399042000000005
AP2S1	-28.38105300000001
P2RY10	-28.35640999816377
ARL6IP4	-28.27078380232396
ARAF	-28.26308800000001
EIF4H	-28.138066000000038
CALCOCO1	-27.98154600000001
UBA1	-27.833518500000025
EGLN2	-27.831764506318564
S100A4	-27.83011999999985
CAPRIN1	-27.792011455999997
PTP4A2	-27.669481099999985
HIF1A	-27.654651696019997
ENSA	-27.448924186148496
GPR171	-27.437299999999993
NCOA4	-27.437175600000003
POLR2I	-27.393950000000004
SORL1	-27.369307999999933
CALM3	-27.260285643200007
UBXN4	-27.168775999999994
PFKL	-27.120716510887007
VPS4B	-27.07693800105588
PPP4C	-27.036171998863693
PSMB7	-27.03397999999997
TCEA1	-26.868112000000025
NLRC3	-26.830413
LRRC8D	-26.642223000000016
CMPK1	-26.586652000000015
API5	-26.566806999999955
MYADM	-26.551489395124996
RAB5B	-26.511180999999993
SLX1A	-26.497912472179998
TMEM167B	-26.451530999999996
HDAC2	-26.449459039999994
PAG1	-26.377250000000004
SPON1	-26.343020999999993
CLPP	-26.267670999999964
SLC35A4	-26.259293999999983
EIF3C	-26.248072901435165
LASP1	-26.227337667917297
BATF	-26.20994299999999
CD99	-26.169797000000074
RCAN3	-26.031783000000004
PXN	-26.02897199808561
POLR2L	-26.02839999999999
TMEM179B	-26.02628
PLCG1	-26.022301999999996
SP3	-26.009646000000018
SPN	-25.940179000000015
RBM4	-25.920621804033345
SIT1	-25.911819999999935
RPA1	-25.91151375307001
TMC6	-25.814575999999988
LYPLA1	-25.803952853811005
SOD1	-25.7661149999999
MACROH2A1	-25.765171056700012
DEDD2	-25.725308999999996
PPDPF	-25.62038299999999
HCLS1	-25.60905400000007
DEF6	-25.53611700000002
PPP2R1A	-25.506590999999986
YTHDF2	-25.50374898285979
UBE2H	-25.496705338000005
ANKH	-25.45373493531001
SRP72	-25.452410000000015
CYTH1	-25.441815200000008
ATP6V0C	-25.401130999999992
SCP2	-25.38963352866392
RHOH	-25.309564655084444
CDC42SE1	-25.268246599999998
MGAT1	-25.170289999999994
DUSP16	-25.16973439999998
SMARCC1	-24.998723999999996
CERK	-24.98447999999999
ORAI1	-24.96663699999999
JUND	-24.96369999999996
NUP50	-24.9541033
PLEKHB1	-24.909719699999997
ASF1A	-24.860043000000005
TMX4	-24.84022300000001
TMEM263	-24.825174000000004
PSMF1	-24.779374400000023
RAB37	-24.7343615
TMEM134	-24.689678999999998
BNIP2	-24.614015524316613
WDR46	-24.536495424164023
DRAP1	-24.498653000000004
SLC2A3	-24.325866955653026
ABHD17A	-24.308739499999973
GRAP	-24.308025335199993
BNIP3L	-24.272912000000005
CREM	-24.257319870639975
RDH11	-24.251694180279998
TBC1D4	-24.224455000000006
TXN2	-24.137140000000016
ZFP36	-24.100280000000026
UBE2G2	-24.095664000000006
RGCC	-24.032919999999933
HNRNPUL1	-24.024924717696678
FTO	-23.9829503
MEAF6	-23.971416600000026
RNF138	-23.96140899999999
DENND1C	-23.932010000000005
LY6E	-23.867281200000022
DPP7	-23.85464299999998
GPA33	-23.80217299999999
PIM1	-23.784919999999985
SMIM10L1	-23.776699999999998
PNPLA2	-23.774510000000006
RSU1	-23.767093800000012
BLVRA	-23.75218600000001
TBXAS1	-23.732680906000006
PCMTD2	-23.72262149999999
MON1B	-23.691788999999986
RAB18	-23.6876867
PSMD13	-23.686195400000003
FAM102A	-23.60665700000004
H1-4	-23.571700000000014
UNC13D	-23.511626000000007
CTSD	-23.479550213381486
SYNE1	-23.45086930325533
IL6R	-23.375
AAMP	-23.26936708216401
PVRIG	-23.230249
MEA1	-23.182299999999998
TNFAIP8L2	-23.15700000000001
ARHGAP25	-23.13728980739998
PPP6C	-23.126179999999998
PFKFB3	-23.005561046399862
G3BP2	-22.869397859999992
PTGER4	-22.713010000000004
TPM4	-22.604085400000017
NDUFA9	-22.584801999999996
CDK9	-22.55758999999999
PIN1	-22.55306903997301
VPS51	-22.52760310000002
NMB	-22.412371000000004
CUTA	-22.37877800000001
RCSD1	-22.369152
TTC1	-22.361230000000006
SLU7	-22.35577400000001
SUMO1	-22.347261357359997
CD7	-22.3380937
VSIR	-22.319399999999973
MZT2A	-22.316463999999982
TMED10	-22.285505
APOBEC3C	-22.271699999999996
SNAP23	-22.248075295266688
FBXL3	-22.239335700000012
CSNK1A1	-22.224355000000003
TANGO2	-22.191803113299997
C1D	-22.1088405
DNAJC8	-22.107040000000012
MSL2	-21.991032999999987
OSTM1	-21.94554800000001
FYTTD1	-21.942656999999997
SRPRA	-21.905181999999996
PARP1	-21.734395300000003
FBXL14	-21.575736999999997
SSU72	-21.54985000000002
CD47	-21.536200000000008
FAM89B	-21.49511999999997
RCC2	-21.436086000000003
SF3B1	-21.43530738429999
NBR1	-21.42806800000001
GPAA1	-21.418201000000003
CCT5	-21.38811799999999
PCMTD1	-21.357617000000005
TNFRSF18	-21.323729
C1orf43	-21.318842999999973
EDEM1	-21.16577200000002
RGS19	-21.165573999999996
ATP6AP2	-21.160389538543853
CCDC69	-21.10148500000001
PSMC3	-20.993571560831896
EIF4B	-20.98311200000002
DYRK2	-20.966261000000003
NUDT16L1	-20.872123999999985
RGS2	-20.852414000000024
SEMA4D	-20.815076400000038
BEX3	-20.777911000000003
SYPL1	-20.697676981876
TRAPPC6A	-20.673941000000013
FRMD8	-20.648565005082908
OTUB1	-20.628485999999995
DCAF13	-20.608849000000006
RNF38	-20.604658536300008
ACAP2	-20.604180000000007
METTL8	-20.52221999999999
CEMIP2	-20.475713499999998
CNNM3	-20.45380399999999
SNF8	-20.42195190000001
VOPP1	-20.419906414529997
GET3	-20.374493100000002
STK26	-20.323477000000018
PAFAH1B3	-20.316109
ADAR	-20.299269999999993
SDF2L1	-20.233990000000006
MAP7D1	-20.226341100000013
KIAA2013	-20.21155000000003
VKORC1	-20.140034099999994
GOLGA7	-20.137789999999995
ZNF414	-20.119319899999997
CNST	-20.116822914300002
CHMP1A	-20.041566999999993
ARHGDIA	-20.03204630000002
CALR	-20.003962999999985
PPT1	-19.995543999999995
HSH2D	-19.916324
RELA	-19.900721517585467
MTMR14	-19.896981619919508
PRKAA1	-19.892276000000003
WDR83OS	-19.88560000000001
ARFGAP2	-19.874767199999994
ARIH1	-19.840530000000008
VRK3	-19.813026699999995
NHP2	-19.777161000000007
ZNF395	-19.776835
RBBP7	-19.766239999999996
PKN1	-19.763744003833153
JPT1	-19.748190466423097
GTF2I	-19.730142
DDT	-19.711170398399986
SPTBN1	-19.6712025
SH3BGRL	-19.619574999999998
ADCY7	-19.574431999999987
NAPRT	-19.5604165862475
ETFB	-19.494641499999993
EVI2B	-19.487800000000007
STUB1	-19.479180281000026
CDCA7L	-19.474606544700002
ATP2A3	-19.453473400000007
EIF6	-19.421925999999978
KDELR2	-19.400147000000004
PSMB2	-19.398719999999997
MAP2K2	-19.391288200000005
FARSA	-19.309571999999974
ZBED1	-19.299532999999997
CKS2	-19.282400000000003
CD37	-19.263402578159827
MTIF3	-19.243363000000002
ARHGEF18	-19.183365000000002
DDB1	-19.155573399999994
NUDT22	-19.14488200000001
CCM2	-19.069364000000007
BCR	-19.058175799999987
MVP	-19.05683350000001
SYNGR2	-19.029075999999975
FKBP5	-19.02285900000001
CNOT2	-19.009278699999996
H1-3	-19.0056
CDK4	-18.997919945
