	CD4 minus TA in CFS251 vs CD4 minus TA in Healthy
ACTB	-1276.0291180000004
HLA-A	-1254.1029693455712
HLA-C	-1105.74284389996
HLA-B	-907.398734212863
PABPC1	-740.7915112609999
LTB	-653.3130189999997
S100A4	-511.97381299999984
PFN1	-477.8883199999998
HLA-E	-415.33866899999975
SARAF	-354.3909484187525
SH3BGRL3	-354.01
GNLY	-351.9121419999999
TXNIP	-349.3108000000002
CYBA	-278.08414199999993
DAZAP2	-258.7384790000003
AQP3	-255.79615699999994
CLDND1	-225.88147417878605
CD44	-224.42790867999992
UBC	-221.12067599999978
EMP3	-215.51235000000008
PBXIP1	-190.86739
S100A6	-181.70560399999988
GAPDH	-177.5153459999999
IL32	-170.1911820168409
LAT	-169.71215600000005
ALDOA	-158.8862171275
TLE5	-157.03032999999994
FXYD5	-153.74273599999992
PRKAR1A	-148.65786803122575
ITGB1	-147.4172321000001
IL7R	-142.55336999999997
TMBIM6	-141.6921729999999
SUN2	-140.41429399999993
S1PR4	-133.35038699999996
GPR25	-132.60809999999998
LDLRAP1	-131.594408
PTPRCAP	-129.69199999999995
MBNL1	-126.51584167878019
SORL1	-125.71670809999998
SQSTM1	-125.12405100000001
CD5	-124.22284999999994
EZR	-123.09272157199996
PPP2R5C	-123.02601770000001
S100A11	-121.16477399999985
SPOCK2	-120.13612157900002
EEF1D	-119.01731770246045
LIMD2	-118.49381000000005
LCK	-118.15807028539996
CD82	-117.54385299999998
CTSB	-117.29237638900003
ANXA2	-117.21522673633064
MIF	-116.97116000000005
OAZ1	-116.68858899999964
ACTR3	-116.47790499999996
SERF2	-113.66424350000011
ARHGAP45	-110.60347100000007
SHISA5	-109.97768089999994
IFITM2	-108.169477546606
LGALS3	-106.98491699999998
LIME1	-106.13500800000003
LAPTM5	-103.28388400000006
CD99	-102.93210900000003
DDX3X	-102.4818363
TPP1	-101.08782884553
CD6	-100.72700000000003
PDCD4	-100.52214099999992
IL2RG	-99.80428000000006
CFL1	-98.53423550000002
CORO1A	-97.40386099999989
PPP2CA	-97.36785700000001
JAML	-97.226832
SELPLG	-95.98840499999994
JAK1	-94.59451999999999
ZFP36L2	-93.03899999999999
CRIP1	-91.460082
ELOB	-91.19764999999995
GPR171	-91.18899999999996
PPP1CA	-89.12021800000002
LDHA	-88.25738799999999
YWHAZ	-88.03749400000004
IKZF1	-87.80242720000001
PASK	-87.01082643834542
ISG20	-83.74434199999996
COTL1	-81.40436300000005
MFNG	-81.008623
TMEM248	-80.69036499999999
IER2	-80.26046900000009
LSP1	-79.97283189999996
R3HDM4	-79.24706500000002
COPE	-78.81860500000002
S1PR1	-78.79523000000006
TAGLN2	-78.03425800000002
NOP53	-77.4448030479391
SLC25A6	-77.42879999999997
XRCC5	-77.06080800000001
FAM107B	-76.18684640000004
TBC1D10C	-74.50815999999998
TCF7	-74.21365000247562
CDC42SE2	-73.68022000000002
GNAI2	-73.20608699999997
SRGN	-72.83239999999995
CLIC1	-71.65074240491526
TPM3	-70.96266929199987
TRAM1	-69.149239
VIM	-68.8126989999999
ANXA5	-68.18745087922787
MZT2B	-67.68269900000001
ARL6IP5	-66.25684299999995
CBFB	-65.99216200000001
SERP1	-65.519563
ITGAL	-64.96538799999999
GPR183	-64.95300000000003
MYL6	-64.94113915060029
CD3D	-64.2863799999999
WDR1	-64.04077090000004
IL10RA	-64.02501999999993
RAC2	-63.59839199999999
MBP	-63.27361130680001
JPT1	-63.22430196642313
MAPK1IP1L	-61.77681
ACTG1	-61.491489999999885
TC2N	-60.23411800000008
UBE2D3	-60.06318020000003
RABAC1	-60.06143700000004
RNF166	-59.82054476959999
CBLL1	-59.744491999999994
PTGER4	-58.54910000000001
TSC22D3	-58.14097773261011
PRKACB	-57.95765800000005
CPNE7	-57.8458643
KLF6	-57.664574199999976
ECH1	-57.531578440000004
GSTK1	-57.370483999999976
